y_unc,cb_oof
14.0,14.399906926239055
18.9,17.80638205417199
13.9,12.381030779972207
18.4,14.849448041757569
9.4,11.086246617487632
13.6,13.541630999858171
14.4,14.699621894338634
15.1,15.587668929510983
15.1,15.520462358166697
16.9,17.679296413145494
16.0,15.478643673055558
13.4,15.105523956299294
14.7,14.433774520046427
14.0,13.921985020853754
12.2,12.037981952773407
14.6,14.382377684778476
14.0,13.978045970143285
13.3,12.841622334730346
7.6,8.259537798934616
16.0,14.114608714618953
14.5,14.330768662242917
13.7,13.690393272030633
19.1,16.717273406073218
13.1,12.910681646957528
12.8,13.727160469046794
13.3,12.889371812460013
17.8,17.23005995407584
13.9,13.637746068532579
13.2,13.024597075214842
17.1,15.950452254066477
13.4,14.12591958680423
19.1,17.980690771422815
17.9,17.371840754436562
14.4,13.98783951063524
14.6,14.43684737449803
18.5,16.54647294062306
14.8,14.650052687589778
13.3,12.531716319126645
14.9,14.60827817041718
13.0,12.229204165952979
12.1,11.535563437180826
14.7,13.162510608904995
14.9,15.733220671943855
15.5,15.575174377969233
14.9,14.580959792569047
10.2,10.697219818684971
10.5,10.918658977083396
12.1,13.931118178647012
13.5,13.294821055664215
11.6,11.241072445642203
16.7,15.83051878126571
14.7,14.746279916638741
19.5,19.34296753187664
6.0,9.363026780018117
14.3,13.969581012861454
15.8,15.867763646514504
17.9,16.745237797731534
19.1,17.28218402643688
14.6,13.122223848244175
14.9,11.603130654606503
12.2,14.924482334818094
15.2,15.009824079495957
11.8,12.122799861477688
18.9,18.188442762184422
11.6,11.45182824524818
12.3,12.377812823688146
13.6,13.23757321582525
14.4,14.172788453404792
14.4,14.194203299586661
13.3,12.947849438292906
16.8,16.77403854088334
14.8,15.038255120030954
12.9,13.683335800835266
14.8,16.23343986517284
17.0,16.9712391311823
19.8,16.896599771396723
15.8,17.688736258918652
14.2,14.52053665690255
15.8,16.015036982644233
13.8,13.599006227930658
19.3,19.000198057095986
13.9,13.004116210824577
17.8,16.29294156236574
12.6,13.426948721113149
14.6,15.316276433037274
10.8,10.426324234635103
18.2,17.309250218799207
11.6,12.788918357546208
11.0,11.30123226728756
15.9,15.15552420244785
17.8,15.024878823576728
17.3,15.549963526136708
19.0,17.3482160702697
13.1,13.270421612513019
16.5,16.637558259419166
11.2,11.025226886529708
14.0,12.879483959812205
16.7,17.58038281026529
13.2,14.007461989927833
17.7,16.20264392066747
12.4,12.937146834214218
19.1,18.907279708451824
16.9,16.61308008863125
19.3,18.933948919788236
18.7,18.588840609183535
17.7,17.512964383990038
15.3,15.51158695408958
15.2,17.371549978706753
15.5,16.05722520960262
19.1,18.54025235780864
6.6,7.497917784494348
17.9,17.40235352097079
14.3,13.781693969009211
13.9,13.519746737612877
14.5,14.595543132250896
14.8,14.98776963131968
13.0,12.82385044451803
15.8,15.030093408015091
16.0,15.695612675852317
15.0,14.859957790875342
19.8,18.83014481526334
18.5,18.96170919429278
19.6,19.25077094696462
15.5,16.257534108721302
19.8,19.173197371535935
8.7,9.754461840901058
19.7,18.93878231116105
14.8,15.720895385693439
16.8,18.168378015921917
14.2,14.968371849696268
13.4,13.610451876709703
14.1,15.881271580583416
13.7,13.61776972710868
14.1,14.70178832703823
14.3,14.62293307215441
13.8,13.2056772280539
19.6,16.457759025332052
15.5,15.919733403716236
15.0,15.360211232065922
10.6,10.60890426399419
12.1,13.800408846291248
13.7,12.959214829548728
14.4,15.302685562637635
18.6,18.548223392892396
18.2,18.329838684760034
14.1,14.155730260710698
10.1,10.631110004440416
19.2,18.561080721992766
13.6,13.514941453468055
12.7,13.455580142501276
18.5,17.290016438098974
17.4,16.114782445511082
15.7,16.20563792635221
18.1,18.706755973602412
16.9,16.20429745828733
17.6,16.196174953889567
17.8,16.578446969801007
16.2,16.8714022316708
19.9,19.27478713117307
10.6,10.297728648496559
13.2,13.222451176698087
14.1,13.977310875619878
18.0,17.372406554291956
12.9,13.680836310551967
14.4,14.689164683228228
13.0,13.509791279808269
15.6,15.767769430094631
18.6,18.23813248251099
13.2,13.167679886220867
15.0,14.99342851957772
11.6,12.161658946890384
10.5,10.699150876054773
12.0,12.677074934937991
12.9,13.055440345662646
13.4,13.81165809778031
16.4,16.46992466817028
10.2,9.379568465868942
13.8,13.190484079881571
