y_unc,xgb_oof
15.5,15.423232078552246
17.8,15.129196166992188
12.8,14.37337589263916
11.5,14.273456573486328
14.2,14.625104904174805
15.1,15.092976570129395
14.8,15.106294631958008
13.7,15.136366844177246
12.6,13.937440872192383
14.9,14.77891731262207
7.2,13.096368789672852
16.0,15.611916542053223
13.8,13.673429489135742
13.5,14.92298698425293
15.0,15.058788299560547
15.5,16.269092559814453
14.2,14.608860969543457
13.0,12.90423583984375
13.9,15.839483261108398
15.2,14.493003845214844
19.3,16.285367965698242
13.3,13.236574172973633
16.4,15.694396018981934
14.5,14.680495262145996
16.1,15.681022644042969
14.0,14.812413215637207
14.9,14.868195533752441
15.0,15.024349212646484
12.9,15.2513427734375
6.9,10.882425308227539
15.0,14.969888687133789
14.8,15.862752914428711
13.1,14.064579010009766
6.1,12.987442016601562
14.1,14.296232223510742
14.7,15.177752494812012
12.2,13.602392196655273
14.5,14.7526273727417
14.7,14.477392196655273
14.4,15.16842269897461
15.1,15.284272193908691
14.7,14.593499183654785
16.1,16.071273803710938
6.8,13.906423568725586
13.9,14.952778816223145
15.0,15.410728454589844
13.8,15.016966819763184
17.9,15.735992431640625
10.9,13.784318923950195
15.4,13.654168128967285
16.3,15.14333724975586
14.2,14.801684379577637
15.9,15.700091361999512
12.3,13.696369171142578
9.1,12.119610786437988
10.2,13.007593154907227
15.8,15.170303344726562
15.2,14.761579513549805
16.0,15.649626731872559
14.2,14.83313274383545
14.4,14.956153869628906
11.7,13.406936645507812
14.4,14.540714263916016
16.6,15.406803131103516
14.8,14.696976661682129
16.1,15.602339744567871
14.6,14.542978286743164
18.2,16.380950927734375
16.4,15.365507125854492
14.5,14.940790176391602
15.7,15.108633041381836
15.8,15.25467300415039
10.2,13.373133659362793
15.6,14.747188568115234
15.1,14.551055908203125
15.3,14.887503623962402
9.8,12.527226448059082
9.5,13.365983963012695
17.8,15.51373291015625
11.1,13.702412605285645
5.3,11.504693984985352
13.1,14.458022117614746
15.5,14.903361320495605
11.7,13.503548622131348
12.4,15.043375968933105
14.9,14.774775505065918
15.5,14.718343734741211
14.6,14.748082160949707
15.6,14.89770221710205
15.1,14.99303150177002
14.3,14.435839653015137
18.3,14.770062446594238
15.8,15.126744270324707
16.2,15.097987174987793
17.6,15.70486831665039
14.1,14.36623764038086
16.6,15.592355728149414
19.5,16.83280372619629
14.7,14.676257133483887
14.4,14.504626274108887
17.0,15.980306625366211
15.5,14.682759284973145
18.1,16.744108200073242
13.1,14.330886840820312
14.7,14.561086654663086
14.6,14.690978050231934
12.6,12.92852783203125
15.0,14.85654067993164
14.3,13.683389663696289
8.9,11.652870178222656
13.2,14.670736312866211
6.9,11.782379150390625
12.2,14.643007278442383
14.1,14.404214859008789
17.6,16.69856071472168
14.7,14.743401527404785
14.3,14.82828426361084
13.8,14.091032981872559
10.1,12.550596237182617
14.0,14.18144416809082
11.3,12.318819046020508
17.9,16.51449203491211
13.1,13.322966575622559
14.7,14.681532859802246
15.2,14.763672828674316
16.5,15.155352592468262
13.7,13.70293140411377
16.6,15.904951095581055
15.1,14.434684753417969
15.2,15.87220573425293
14.1,14.309886932373047
13.7,14.43077564239502
19.4,16.53152084350586
19.5,16.638463973999023
11.2,13.138717651367188
14.4,14.681074142456055
17.5,16.036718368530273
13.5,14.069656372070312
16.4,15.694704055786133
16.2,15.511470794677734
15.3,14.932689666748047
13.6,14.419814109802246
12.9,13.843727111816406
12.3,13.861031532287598
13.7,14.422971725463867
13.8,14.866143226623535
13.9,13.979557037353516
12.7,13.854470252990723
14.9,15.104388236999512
14.3,15.402631759643555
14.5,15.167418479919434
18.0,16.230316162109375
13.2,14.306807518005371
14.9,15.164602279663086
10.9,14.187516212463379
12.0,13.776692390441895
14.1,13.870466232299805
12.7,13.447565078735352
10.7,13.312710762023926
14.0,14.505022048950195
11.6,12.636862754821777
14.1,14.630183219909668
14.5,14.793732643127441
12.0,14.071176528930664
13.5,14.190519332885742
14.2,14.101656913757324
16.5,15.514486312866211
17.7,16.577999114990234
11.8,13.62996768951416
13.7,14.640140533447266
13.8,14.395462989807129
15.4,14.584589958190918
14.8,14.289552688598633
14.9,14.600555419921875
11.7,13.964944839477539
13.0,13.951258659362793
11.7,13.820229530334473
13.4,14.351030349731445
12.4,13.542244911193848
6.0,12.377490997314453
10.8,12.407794952392578
11.9,13.490653991699219
13.3,14.484374046325684
13.1,12.998017311096191
11.6,13.57421588897705
19.1,16.721946716308594
15.0,14.751361846923828
12.2,13.5228853225708
10.2,12.674983978271484
12.0,13.803448677062988
14.6,14.754904747009277
13.5,14.302104949951172
14.0,14.673202514648438
10.0,13.359249114990234
19.6,16.83978843688965
14.5,14.749582290649414
19.2,16.513608932495117
15.0,14.665040016174316
15.1,14.701102256774902
13.3,14.401442527770996
11.3,12.063836097717285
14.0,14.46035385131836
13.7,14.064337730407715
14.2,14.434475898742676
14.6,14.53908634185791
18.3,16.333677291870117
14.3,14.696213722229004
11.1,13.56629753112793
14.2,13.94696044921875
16.9,15.952475547790527
14.4,14.636103630065918
13.3,14.275737762451172
16.0,15.963834762573242
13.6,15.11839485168457
13.5,14.570703506469727
14.0,15.157605171203613
11.3,13.359825134277344
19.9,16.845081329345703
16.8,15.017946243286133
16.5,15.10485553741455
10.2,14.117569923400879
11.6,14.964227676391602
13.8,14.30743408203125
18.9,16.97433090209961
17.1,15.878178596496582
13.5,14.362151145935059
16.0,15.124675750732422
15.9,15.747028350830078
15.7,14.825444221496582
19.9,16.972129821777344
16.6,15.684588432312012
15.0,14.493279457092285
17.3,16.04205322265625
15.7,15.101838111877441
10.1,13.751238822937012
15.7,15.336349487304688
10.2,13.740371704101562
16.1,15.397911071777344
10.5,12.442809104919434
14.6,16.193851470947266
14.4,14.49423599243164
15.0,15.287652015686035
18.0,16.371768951416016
14.3,14.536584854125977
14.5,14.671564102172852
17.4,16.20163345336914
12.3,13.952286720275879
14.8,14.79699993133545
15.1,14.982275009155273
19.4,16.580171585083008
13.6,14.30349349975586
4.6,11.791711807250977
11.1,13.745383262634277
14.3,14.626477241516113
16.8,16.32009506225586
12.8,13.763598442077637
15.1,13.91135311126709
14.2,13.910224914550781
13.2,13.250568389892578
15.8,14.767684936523438
13.4,13.546974182128906
15.9,15.272717475891113
18.4,16.367488861083984
17.9,16.287803649902344
13.6,13.783489227294922
12.9,13.474682807922363
14.2,14.514015197753906
10.9,13.421956062316895
14.3,14.329445838928223
15.6,15.553801536560059
4.1,11.41651439666748
13.8,14.313239097595215
19.2,16.994369506835938
13.5,14.49596118927002
14.3,14.280927658081055
10.5,13.561761856079102
14.0,15.001681327819824
19.9,17.058094024658203
14.0,14.157544136047363
19.8,16.940797805786133
16.2,15.438810348510742
5.7,13.03966236114502
15.0,15.07544231414795
15.2,14.859715461730957
12.0,15.598191261291504
17.0,15.568495750427246
15.7,15.140403747558594
17.6,14.366650581359863
14.5,14.50642204284668
15.2,15.443642616271973
13.7,13.986124038696289
16.4,15.51158618927002
11.7,14.14365005493164
14.6,15.431905746459961
15.1,14.759356498718262
13.8,14.49354362487793
15.4,14.824382781982422
14.6,14.462759971618652
14.8,16.106502532958984
18.7,15.278085708618164
18.7,16.334922790527344
13.3,15.809989929199219
16.0,15.554519653320312
19.2,16.285293579101562
11.8,13.425127029418945
13.3,14.124903678894043
12.2,13.924166679382324
12.8,14.35715103149414
16.5,15.820113182067871
15.4,14.930513381958008
16.0,15.620416641235352
16.0,15.391525268554688
18.3,16.21578598022461
15.3,15.364310264587402
19.3,16.14896583557129
11.5,14.587044715881348
14.2,14.391212463378906
19.0,15.833019256591797
15.6,14.705445289611816
14.3,13.898609161376953
12.8,13.785818099975586
18.1,16.528940200805664
13.6,14.902674674987793
10.9,13.190003395080566
17.8,16.066225051879883
17.2,15.551100730895996
18.0,14.804746627807617
14.7,15.39294147491455
15.5,15.516584396362305
10.3,14.22179889678955
12.0,14.26235294342041
15.6,14.668148040771484
12.1,13.70135498046875
14.2,15.983133316040039
13.2,13.921028137207031
15.6,14.863399505615234
10.9,13.577657699584961
8.4,10.9467191696167
15.1,14.911775588989258
