,s_tilde
Eunbe01,5.967191370494869
Eunbi01,12.058212466238416
Eunbi02,9.66525304171453
Eunbi03,13.542837264832293
Eunbi04,13.63377421671612
Eunbi05,19.436340815659857
Eunbo01,18.61091315175183
Eunbo02,7.545084998480554
Eunbo03,18.987279714180165
Eunch01,8.92633591855824
Eunci01,17.63286093195204
Eunci02,13.523009315980664
Eunci03,10.294113868989644
Euncu01,15.487731255474877
Eunde01,8.708549815696692
Eundi01,17.414765764803217
Eundi02,1.000890798031873
Eundo01,7.355137643653328
Eunel01,6.747252014467265
Eunen01,18.57253089383744
Eunfa01,10.30727842265296
Eunfl01,2.2985931355955063
Eunfo01,13.667823942033015
Eunfo02,18.702293496168274
Eunge01,17.213244840850965
Eunge02,11.065547435238829
Eungi01,10.363516084849834
Eungl01,15.836309617209611
Eungl02,11.272536054181614
Eungr01,1.426551116511455
Eunim01,19.782434929810506
Eunin01,19.806497847042554
Eunin02,15.455073344942187
Eunis01,17.399890459469898
Eunkr01,18.57056126615386
Eunla01,12.125317273550047
Eunla02,10.363203037258339
Eunme01,7.457344873032564
Eunme02,18.6388468727382
Eunme03,13.783804941503659
Eunmi01,8.183317823508709
Eunmi02,1.0000012660045616
Eunmo01,7.984352836895179
Eunmu01,15.90351307957624
Eunmy01,12.742918314522456
Eunna01,8.823600965707287
Eunne01,13.429842443613772
Eunne02,8.44040159132882
Eunny01,14.420049057138325
Eunoc01,3.401718591116707
Eunor01,10.320252527937297
Eunpa01,13.14338435049031
Eunpa02,18.711514030278778
Eunpa03,18.123088160319526
Eunpa04,14.025259108357384
Eunpa05,16.09014378577412
Eunpe01,16.922716692840112
Eunpe02,10.395505514903572
Eunpe03,15.495064622492764
Eunpr01,15.81667331077503
Eunps01,8.125698328547282
Eunps02,14.172493302293356
Eunrh01,16.05247304765656
Eunse01,13.47846552601489
Eunse02,17.054092983465058
Eunse03,8.86391527938302
Eunsi01,15.924650316626774
Eunso01,10.729808566514206
Eunst01,8.609287313554837
Eunsu01,11.316669284514948
Eunsu02,19.350660052954076
Eunsu03,18.669286789244428
Eunsu04,10.844981124291806
Eunta01,17.78053674615279
Eunte01,19.09483200731375
Eunte02,16.77344177361962
Eunth01,16.966000628145405
Euntr01,13.697189666362515
Euntr02,14.392420609642757
Eunur01,7.106899804225478
Eunva01,6.983373618655743
Eunva02,12.349381053509626
Eunyb01,12.670663734429697
Exipu01,11.932132039748259
Exiva01,19.81189062957498
Falcl01,10.321408265672543
Falcr01,14.322462920727354
Falom01,3.780100771078185
Falpy01,15.044329781746322
Fraac01,7.904086886360935
Fraac02,12.802264771861946
Fraac03,3.829701624509298
Fraae01,18.835494159536225
Fraal01,15.691059300347591
Fraam01,18.532808706208407
Fraam02,14.301100648751268
Fraan01,7.7837665801872875
Fraaq01,10.914777918227408
Fraat01,12.634454408038259
Fraau01,17.517340977351616
Frabi01,14.950634552627859
Frabi02,9.421389819799009
Frabi03,17.9404943774031
Frabi04,8.209635381478744
Frabi05,2.0393523155937325
Frabo01,15.20427460323241
Frabr01,15.635239980208022
Fraca01,16.14671813558688
Fraca02,18.034257853668134
Fraca03,12.857756704587725
Fraca04,19.244902487978308
Fraca05,1.9443945072792377
Fraco01,13.786876445863312
Fraco02,15.663173815232794
Fracr01,17.548434867383474
Frade01,17.57759902310315
Frade02,15.969334936083657
Fradi01,12.106818117842352
Frael01,13.024832126465327
Fraex01,19.36453136103796
Frafo01,15.186020751439273
Frafr01,13.657335886447276
Frage01,15.17999801736116
Frage02,19.494756243638793
Fragr01,19.999914286812935
Fragr02,10.615370869751494
Fraha01,12.028953556200074
Frahe01,12.990290158645942
Frain01,17.209810010496895
Frain02,13.680357950271436
Fraka01,17.243103234694225
Frala01,2.3915827918131884
Frala02,16.7703948136947
Frala03,12.013219643223216
Frale01,18.548985640076378
Fralo01,14.206654739371322
Frame01,10.4941759083721
Frame02,17.73477961000547
Frami01,13.280258295888297
Frami02,4.931670193331273
Frami03,17.39350595986102
Frami04,11.250438498278058
Framu01,15.05104949713617
Frana01,17.680075929718193
Frana02,7.111725785300547
Frane01,16.432622073905375
Frane02,17.156089693086372
