SamplingOperations_code,IBD_pred
S03036510_20120626,16.28293850235519
S03036630_20150703,15.413901491088724
S03036710_20140820,16.161833990760755
S03037480_20120719,16.584628536223104
S03037480_20200724,16.79045726261487
S03037550_20210906,14.311930470394318
S03037576_20200724,16.06425728512982
S03037650_20120719,16.5722673303541
S03037650_20130626,15.829080107817907
S03038630_20200722,16.219639186392705
S03038700_20110929,15.596971613479353
S03039000_20120723,16.92238564108882
S03039000_20130730,17.168140624911253
S03039000_20190920,14.210535631191432
S03039000_20200917,11.028477261618002
S03039110_20150701,14.241241825537811
S03039130_20150702,16.747714150365884
S03039240_20150702,13.708618517653134
S03039673_20150701,16.19329563562965
S03039940_20120718,16.31014145173007
S03039940_20200625,17.675061538156005
S03040250_20120626,18.709770184199044
S03040250_20200624,9.899023112891443
S03040250_20220616,15.949725142338776
S03040450_20200610,17.131987290821957
S03040791_20150702,15.627457623730695
S03041000_20120919,14.682747145042953
S03041000_20200727,15.05286094845291
S03041247_20130905,15.818546192682097
