SamplingOperations_code,P(High),P(Good),P(Moderate),P(Bad),P(Poor),y_hat,confidence,entropy,n_votes
S02025700_20160825,0.9999999365340508,1.127981932732666e-52,1.3620024351168818e-81,6.346594922669596e-08,1.267138688647829e-110,High,0.9999993069910167,1.1153549313674326e-06,11
S02026250_20170706,5.615815990341323e-31,0.999990465633084,1.3706763164011712e-12,9.534365545421586e-06,1.9733524202750224e-72,Good,0.9999255904968358,0.00011975747543772894,12
S02026250_20200701,0.9999999822031339,1.0339846579500904e-54,1.4230099746725649e-93,1.7796866116101745e-08,1.323897040672056e-122,High,0.9999997915723445,3.3545137072722373e-07,12
S02026500_20160823,1.2318207833167126e-29,0.999987140232631,9.564677031240021e-12,1.2859757804382222e-05,1.4652382094087466e-70,Good,0.999902028555053,0.00015767895783371552,11
S02026500_20200703,5.615815990341323e-31,0.999990465633084,1.3706763164011712e-12,9.534365545421586e-06,1.9733524202750224e-72,Good,0.9999255904968358,0.00011975747543772894,12
S02027000_20160831,1.999423356514527e-39,0.999996959554585,5.745201749115634e-07,2.4659252399932585e-06,8.962368851991312e-65,Good,0.9999731965122123,4.313854943104111e-05,11
S02028000_20130821,1.1177024557652416e-12,1.52226129086469e-46,1.8415594783553527e-87,0.9999999999988822,1.5589663077898407e-99,Bad,0.9999999999286896,1.1476972348173088e-10,12
S02028000_20160824,5.025687877679334e-25,7.47319685696724e-24,7.420732737254895e-32,1.0,4.6672177314284525e-80,Bad,0.9999999999313275,1.1052408446371418e-10,11
S02028500_20160823,1.0757734508414936e-57,8.221027841928531e-14,0.9999999999999178,1.5494423666589855e-17,3.366723368069973e-29,Moderate,0.9999999999312765,1.1060624096753645e-10,11
S02028500_20180803,1.0810433454547919e-94,1.7410202964207318e-24,0.9999998771262888,2.7748412495076213e-28,1.2287371116181644e-07,Moderate,0.9999987087812242,2.078136450942382e-06,12
S02029000_20120718,5.615815990341323e-31,0.999990465633084,1.3706763164011712e-12,9.534365545421586e-06,1.9733524202750224e-72,Good,0.9999255904968358,0.00011975747543772894,12
S02029000_20160830,6.363228467111213e-84,5.903616256877797e-24,0.9999995128121677,6.433421917787463e-28,4.871878323725389e-07,Moderate,0.9999952975143321,7.568358716603845e-06,11
S02029000_20180802,7.517997419286428e-96,3.5070455242858106e-25,0.9999998432404503,2.4600966078236666e-29,1.5675954969667919e-07,Moderate,0.9999983764283905,2.613037701773804e-06,12
S02029160_20130821,0.9999999822031339,1.0339846579500904e-54,1.4230099746725649e-93,1.7796866116101745e-08,1.323897040672056e-122,High,0.9999997915723445,3.3545137072722373e-07,12
S02029160_20160824,1.4444770577777355e-25,2.639498596225234e-22,1.7237347563799637e-30,1.0,6.429402288855561e-78,Bad,0.9999999999313275,1.1052408446371418e-10,11
S02030200_20160822,5.740512572189777e-60,3.504353110798778e-16,0.9999999999999996,7.406587883480563e-20,6.795910934748517e-29,Moderate,0.9999999999313273,1.1052452855292403e-10,11
S02030350_20100727,7.517997419286428e-96,3.5070455242858106e-25,0.9999998432404503,2.4600966078236666e-29,1.5675954969667919e-07,Moderate,0.9999983764283905,2.613037701773804e-06,12
S02030350_20180801,7.300154377704038e-86,6.315657174043427e-23,0.9999999965764756,2.1781225550102078e-27,3.4235243154660535e-09,Moderate,0.9999999563575638,7.023979144240173e-08,12
S02030500_20080807,3.675382767227156e-75,2.7704329385257776e-20,1.0,1.104815872612976e-24,2.4750129320084677e-19,Moderate,0.9999999999313275,1.1052408446371418e-10,12
S02030500_20090804,3.7282967663040194e-41,0.9999199170594517,7.934765321868078e-05,7.352873295962964e-07,2.4173513400489702e-63,Good,0.9994783031146212,0.0008396387461274981,12
S02030500_20160830,6.363228467111213e-84,5.903616256877797e-24,0.9999995128121677,6.433421917787463e-28,4.871878323725389e-07,Moderate,0.9999952975143321,7.568358716603845e-06,11
S02030500_20210811,2.297156691109678e-31,0.9999961638380452,1.3211024315848751e-09,3.83484085241842e-06,3.952415346855499e-69,Good,0.9999678838265824,5.1688987100521015e-05,12
S02031400_20160901,8.884816254868591e-73,5.277859459651715e-21,0.9999999916600982,6.42478044176223e-25,8.339901811042064e-09,Moderate,0.999999898372323,1.6356343631084514e-07,11
S02031650_20160901,3.9647753414737924e-61,1.0885640987140246e-18,0.9999999966176842,2.923732854671763e-22,3.3823157668876783e-09,Moderate,0.999999956856813,6.943628082578811e-08,11
S02031650_20180731,6.898754052385177e-29,0.9996633607660973,2.0834553090603268e-12,0.00033663923181921813,5.0578394832247265e-73,Good,0.9981182760502344,0.0030285178654880424,12
S02031650_20190808,2.4350431481861333e-14,1.1389016031171345e-44,7.097516252461558e-76,0.9999999999999756,8.352304231809889e-100,Bad,0.9999999999313124,1.1054850937025594e-10,12
S02032000_20070807,2.9925011577851403e-58,4.747679555149213e-13,0.9999999999995253,8.140904541370247e-17,3.921012278357683e-30,Moderate,0.9999999999310326,1.109988158290438e-10,12
S02032000_20090805,7.517997419286428e-96,3.5070455242858106e-25,0.9999998432404503,2.4600966078236666e-29,1.5675954969667919e-07,Moderate,0.9999983764283905,2.613037701773804e-06,12
