region,SamplingOperations_code,y_true,oof_pred,yhat_te,y_filled,proba_Bad,proba_Good,proba_High,proba_Moderate,proba_Poor
1,S05178800_20170919,High,High,,High,,,,,
1,S05178800_20180809,High,High,,High,,,,,
1,S05178800_20190716,High,High,,High,,,,,
1,S05178800_20200702,High,High,,High,,,,,
1,S05178800_20210706,High,High,,High,,,,,
1,S05178800_20220726,High,High,,High,,,,,
1,S05178850_20151026,High,High,,High,,,,,
1,S05178850_20160818,High,High,,High,,,,,
1,S05178850_20171030,Good,Good,,Good,,,,,
1,S05178850_20181018,Good,Good,,Good,,,,,
1,S05178850_20190911,High,High,,High,,,,,
1,S05178850_20200924,High,High,,High,,,,,
1,S05178850_20210826,High,High,,High,,,,,
1,S05178900_20130912,High,High,,High,,,,,
1,S05178900_20140723,High,High,,High,,,,,
1,S05178900_20150806,High,High,,High,,,,,
1,S05178900_20160912,Good,Good,,Good,,,,,
1,S05178900_20170726,High,High,,High,,,,,
1,S05178900_20180809,High,High,,High,,,,,
1,S05178900_20190717,High,High,,High,,,,,
1,S05178900_20210706,High,High,,High,,,,,
1,S05178900_20220726,High,High,,High,,,,,
1,S05179000_20070807,High,High,,High,,,,,
1,S05179000_20080909,High,High,,High,,,,,
1,S05179000_20090702,High,High,,High,,,,,
1,S05179000_20100630,High,High,,High,,,,,
1,S05179000_20110816,High,High,,High,,,,,
1,S05179000_20120727,High,High,,High,,,,,
1,S05179000_20130912,High,High,,High,,,,,
1,S05179000_20140723,High,High,,High,,,,,
1,S05179000_20150824,High,High,,High,,,,,
1,S05179000_20170920,High,High,,High,,,,,
1,S05179000_20180920,High,High,,High,,,,,
1,S05179000_20190717,High,High,,High,,,,,
1,S05179000_20200820,High,High,,High,,,,,
1,S05179000_20210901,High,High,,High,,,,,
1,S05179000_20220909,High,High,,High,,,,,
1,S05179500_20070808,High,High,,High,,,,,
1,S05179500_20080909,High,High,,High,,,,,
1,S05179500_20100630,High,High,,High,,,,,
1,S05179500_20110816,High,High,,High,,,,,
1,S05179500_20121027,High,High,,High,,,,,
1,S05179500_20130912,High,High,,High,,,,,
1,S05179500_20140723,High,High,,High,,,,,
1,S05179500_20150722,High,High,,High,,,,,
1,S05179500_20160913,High,High,,High,,,,,
1,S05179500_20170920,High,High,,High,,,,,
1,S05179500_20180920,High,High,,High,,,,,
1,S05179500_20190717,High,High,,High,,,,,
1,S05179500_20200818,Good,Good,,Good,,,,,
1,S05179500_20210901,High,High,,High,,,,,
1,S05179750_20130910,Good,Good,,Good,,,,,
1,S05179750_20140722,Good,High,,Good,,,,,
1,S05179750_20150722,High,High,,High,,,,,
1,S05179750_20161004,High,High,,High,,,,,
1,S05179750_20170724,High,High,,High,,,,,
1,S05179750_20180919,High,High,,High,,,,,
1,S05179750_20190717,Good,Good,,Good,,,,,
1,S05179750_20200818,High,High,,High,,,,,
1,S05179750_20210831,High,High,,High,,,,,
1,S05179750_20220823,High,High,,High,,,,,
1,S05180210_20130910,High,High,,High,,,,,
1,S05180210_20140722,High,High,,High,,,,,
1,S05180210_20160914,High,High,,High,,,,,
1,S05180210_20170724,High,High,,High,,,,,
1,S05180210_20180918,High,High,,High,,,,,
1,S05180210_20191009,High,High,,High,,,,,
1,S05180210_20210721,High,High,,High,,,,,
1,S05180210_20220804,High,High,,High,,,,,
1,S05180220_20130910,High,High,,High,,,,,
1,S05180220_20140722,High,High,,High,,,,,
1,S05180220_20150722,High,High,,High,,,,,
1,S05180220_20160914,High,High,,High,,,,,
1,S05180220_20170724,High,High,,High,,,,,
1,S05180220_20180919,High,High,,High,,,,,
1,S05180220_20210721,High,High,,High,,,,,
1,S05180220_20220804,High,High,,High,,,,,
1,S05180290_20070808,High,High,,High,,,,,
1,S05180290_20080909,High,High,,High,,,,,
1,S05180290_20090702,High,High,,High,,,,,
1,S05180290_20100630,High,High,,High,,,,,
1,S05180290_20110816,High,High,,High,,,,,
1,S05180290_20120727,High,High,,High,,,,,
1,S05180290_20130912,High,High,,High,,,,,
1,S05180290_20140723,High,High,,High,,,,,
1,S05180290_20150824,High,High,,High,,,,,
1,S05180290_20160913,High,High,,High,,,,,
1,S05180290_20170726,High,High,,High,,,,,
1,S05180290_20180920,High,High,,High,,,,,
1,S05180290_20190415,High,High,,High,,,,,
1,S05180290_20200819,High,High,,High,,,,,
1,S05180290_20210901,High,High,,High,,,,,
1,S05180290_20220824,High,High,,High,,,,,
1,S05180295_20070808,Good,Good,,Good,,,,,
1,S05180295_20080806,High,High,,High,,,,,
1,S05180295_20090625,Good,Good,,Good,,,,,
1,S05180295_20100630,Good,Good,,Good,,,,,
1,S05180295_20110811,High,High,,High,,,,,
1,S05180295_20120827,High,High,,High,,,,,
1,S05180295_20130910,Good,Good,,Good,,,,,
1,S05180295_20140723,High,High,,High,,,,,
1,S05180295_20160706,High,High,,High,,,,,
1,S05180295_20170725,High,High,,High,,,,,
1,S05180295_20180919,High,High,,High,,,,,
1,S05180295_20190718,High,High,,High,,,,,
1,S05180295_20200817,Good,Good,,Good,,,,,
1,S05180295_20210901,High,High,,High,,,,,
1,S05180295_20220824,High,High,,High,,,,,
1,S05180550_20070808,Good,Good,,Good,,,,,
1,S05180550_20080806,High,High,,High,,,,,
