IBD_pred,SamplingOperations_code
17.542415463379985,S02052000_20160720
17.17929660494216,S02052000_20210706
16.260877514537892,S02052500_20100721
19.30378482041381,S02052500_20160720
18.23106892058506,S02052500_20170810
18.26257162794949,S02052500_20180718
15.081176469102763,S02052500_20200717
18.82668650220756,S02054000_20160719
17.40524513522396,S02054000_20190702
14.045991555897725,S02054100_20100804
16.042134272654778,S02054100_20120802
17.647488621096045,S02054100_20160719
13.06689659930762,S02054300_20160719
10.91148148239255,S02054500_20090728
17.97457205097803,S02054500_20160719
10.238184754867053,S02054550_20160719
11.155606462573983,S02055500_20141003
13.874917871592851,S02055500_20160810
11.64371910106021,S02055580_20120723
13.870576137511229,S02055580_20160810
14.837044179193382,S02056020_20160817
5.902082715642397,S02056200_20100729
7.440396389734751,S02056200_20140716
6.570546353043797,S02056200_20160810
11.716826892889753,S02057000_20070829
12.641585778200355,S02057000_20160810
13.655006116122667,S02057000_20170808
11.747127842188963,S02057000_20200728
14.4120473001495,S02057250_20120723
12.946426568624675,S02057250_20160719
14.627017936973969,S02057350_20160719
14.074358554272244,S02057350_20190705
7.178701002353117,S02057400_20080801
13.753879108192221,S02057400_20100804
14.691228117396758,S02057400_20160920
14.947314829290425,S02057453_20170807
12.71012187618912,S02057480_20210804
14.693263834402094,S02057520_20160920
14.525866994928483,S02057525_20160809
15.024537666009802,S02057557_20160809
14.784819434196795,S02057600_20100729
15.039630612764581,S02057600_20160809
12.129446340450158,S02057650_20190704
15.146308129253327,S02057760_20160809
13.92045476063289,S02058000_20150815
14.149120844924656,S02058000_20160817
17.882543924835577,S02058990_20160920
11.713417448186416,S02059500_20070827
13.356247785879034,S02059500_20160810
14.630253169146874,S02059800_20150820
18.986022235438817,S02060100_20160817
12.42824633810675,S02060500_20110726
11.782435144607735,S02060500_20120730
13.46064115266328,S02060500_20160727
12.860014200204782,S02060750_20160727
12.722363320276319,S02061500_20090820
15.243879153893635,S02061500_20120716
18.978635074024503,S02061500_20160721
16.32839681434569,S02061500_20170810
16.68860829546459,S02061500_20190716
19.333274600320046,S02061970_20120716
17.699113960517682,S02061970_20160721
18.8086145958294,S02061970_20210812
13.437721262798577,S02063000_20100803
15.980904192244656,S02063000_20160721
14.485258800269584,S02063000_20200710
14.220842183881643,S02064000_20160721
13.914649221465313,S02064770_20140717
16.398711459511585,S02064770_20160721
16.295610674003214,S02065090_20080805
15.822393586090506,S02065090_20150723
16.31203779900451,S02065090_20160901
18.271526049186235,S02065090_20180801
15.996449678142678,S02065280_20160901
18.214625069138886,S02065500_20160812
11.80279783246711,S02066000_20140717
14.076629496097182,S02066000_20160812
13.38495653448934,S02066000_20180724
14.322654150699101,S02067000_20090806
11.25336225475544,S02067000_20110726
12.436083074109298,S02067000_20130716
13.163878755374078,S02067000_20160720
12.79559450685786,S02067150_20100728
14.81771920772935,S02067150_20160811
13.520975024698103,S02067400_20070830
13.903166173634256,S02067400_20080804
14.746446979511648,S02067400_20160812
10.82702147961162,S02067505_20210826
10.931318280953743,S02067600_20160812
13.786647772417583,S02067600_20200716
13.121079149311454,S02067800_20160902
11.24770534987584,S02068500_20160811
13.203128405961206,S02068500_20170808
9.533086580286366,S02068500_20210729
14.407021906064836,S02068790_20180724
13.823337589284371,S02068790_20210803
8.817025047584202,S02068800_20090728
10.471236774243586,S02068800_20160811
9.409304168203626,S02069100_20110726
11.478793766024436,S02069100_20160811
11.444252569313033,S02069100_20190703
11.641313016567084,S02069100_20200724
10.516231936410211,S02070000_20070829
13.710474329715407,S02070000_20140717
11.625021372446913,S02070000_20160811
11.089883401179751,S02070250_20080731
9.345143821707401,S02070250_20160811
6.310340730364629,S02070250_20210729
15.41762000925573,S02070370_20200723
14.174611580674537,S02070500_20180824
14.149927663823144,S02070750_20080731
13.524815904800219,S02070750_20160817
14.305031879655262,S02070750_20180829
15.987858598080438,S02070900_20160811
15.32755598649502,S02070900_20210730
14.211200812496342,S02071050_20120719
12.853395336578194,S02071050_20160811
10.947838419218328,S02072400_20160811
14.462232891405028,S02072600_20080731
11.671836480540172,S02072700_20130711
11.48954459196742,S02072700_20160810
12.28326004972042,S02073700_20210813
13.51926171703077,S02074000_20160811
13.821059291454715,S02075300_20090729
16.313224362178516,S02076180_20090803
11.194259555615202,S02076180_20100729
16.38364242026685,S02076180_20140924
12.69517275081651,S02076180_20160727
18.787933800713212,S02076180_20210729
15.107284181920672,S02076195_20170727
10.24106842564008,S02076800_20120725
11.199197984874472,S02076800_20150817
12.861778447940628,S02076800_20160727
11.819759542713452,S02076800_20180828
12.816789613428057,S02076800_20200707
